| 00 00 | 0aaa aaaa | Patch Name1 (32 - 126) |
| | | DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, S/R 2, LOOPER, |
| | | LOOPER STOP, LOOPER CLEAR, METRONOME, MIDI START, |
| | | MMC PLAY, MDLY TRIGGER |
| 00 24 | 0000 000a | Num1 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 25 | 00aa aaaa | Num2 Function (0 - 57) |
| | | OFF, 2, PATCH +1, PATCH -1, LEVEL +10, LEVEL +20, |
| | | LEVEL -10, LEVEL -20, BPM TAP, DLY1 TAP, DLY2 TAP, |
| | | DLY3 TAP, DLY4 TAP, MST DLY TAP, TUNER, AMP CTL1, |
| | | AMP CTL2, CMP, DS1, DS1 SOLO, DS2, DS2 SOLO, |
| | | AMP-1, AMP-1 SOLO, AMP-2, AMP-2 SOLO, NS 1, NS 2, |
| | | EQ 1, EQ 2, EQ 3, EQ 4, DLY1, DLY2, DLY3, DLY4, |
| | | MST DLY, CHO, FX1, FX2, FX3, FX1 TRIGGER, |
| | | FX2 TRIGGER, FX3 TRIGGER, REV, PFX, DIV1 CH.SEL, |
| | | DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, S/R 2, LOOPER, |
| | | LOOPER STOP, LOOPER CLEAR, METRONOME, MIDI START, |
| | | MMC PLAY, MDLY TRIGGER |
| 00 26 | 0000 000a | Num2 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 27 | 00aa aaaa | Num3 Function (0 - 57) |
| | | OFF, 3, PATCH +1, PATCH -1, LEVEL +10, LEVEL +20, |
| | | LEVEL -10, LEVEL -20, BPM TAP, DLY1 TAP, DLY2 TAP, |
| | | DLY3 TAP, DLY4 TAP, MST DLY TAP, TUNER, AMP CTL1, |
| | | AMP CTL2, CMP, DS1, DS1 SOLO, DS2, DS2 SOLO, |
| | | AMP-1, AMP-1 SOLO, AMP-2, AMP-2 SOLO, NS 1, NS 2, |
| | | EQ 1, EQ 2, EQ 3, EQ 4, DLY1, DLY2, DLY3, DLY4, |
| | | MST DLY, CHO, FX1, FX2, FX3, FX1 TRIGGER, |
| | | FX2 TRIGGER, FX3 TRIGGER, REV, PFX, DIV1 CH.SEL, |
| | | DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, S/R 2, LOOPER, |
| | | LOOPER STOP, LOOPER CLEAR, METRONOME, MIDI START, |
| | | MMC PLAY, MDLY TRIGGER |
| 00 28 | 0000 000a | Num3 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 29 | 00aa aaaa | Num4 Function (0 - 57) |
| | | OFF, 4, PATCH +1, PATCH -1, LEVEL +10, LEVEL +20, |
| | | LEVEL -10, LEVEL -20, BPM TAP, DLY1 TAP, DLY2 TAP, |
| | | DLY3 TAP, DLY4 TAP, MST DLY TAP, TUNER, AMP CTL1, |
| | | AMP CTL2, CMP, DS1, DS1 SOLO, DS2, DS2 SOLO, |
| | | AMP-1, AMP-1 SOLO, AMP-2, AMP-2 SOLO, NS 1, NS 2, |
| | | EQ 1, EQ 2, EQ 3, EQ 4, DLY1, DLY2, DLY3, DLY4, |
| | | MST DLY, CHO, FX1, FX2, FX3, FX1 TRIGGER, |
| | | FX2 TRIGGER, FX3 TRIGGER, REV, PFX, DIV1 CH.SEL, |
| | | DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, S/R 2, LOOPER, |
| | | LOOPER STOP, LOOPER CLEAR, METRONOME, MIDI START, |
| | | MMC PLAY, MDLY TRIGGER |
| 00 2A | 0000 000a | Num4 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 2B | 00aa aaaa | Num5 Function (0 - 57) |
| | | OFF, 5, PATCH +1, PATCH -1, LEVEL +10, LEVEL +20, |
| | | LEVEL -10, LEVEL -20, BPM TAP, DLY1 TAP, DLY2 TAP, |
| | | DLY3 TAP, DLY4 TAP, MST DLY TAP, TUNER, AMP CTL1, |
| | | AMP CTL2, CMP, DS1, DS1 SOLO, DS2, DS2 SOLO, |
| | | AMP-1, AMP-1 SOLO, AMP-2, AMP-2 SOLO, NS 1, NS 2, |
| | | EQ 1, EQ 2, EQ 3, EQ 4, DLY1, DLY2, DLY3, DLY4, |
| | | MST DLY, CHO, FX1, FX2, FX3, FX1 TRIGGER, |
| | | FX2 TRIGGER, FX3 TRIGGER, REV, PFX, DIV1 CH.SEL, |
| | | DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, S/R 2, LOOPER, |
| | | LOOPER STOP, LOOPER CLEAR, METRONOME, MIDI START, |
| | | MMC PLAY, MDLY TRIGGER |
| 00 2C | 0000 000a | Num5 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 2D | 00aa aaaa | BankDown Function (0 - 57) |
| | | OFF, BANK DOWN, PATCH +1, PATCH -1, LEVEL +10, |
| | | LEVEL +20, LEVEL -10, LEVEL -20, BPM TAP, |
| | | DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 2E | 0000 000a | BankDown Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 2F | 00aa aaaa | BankUp Function (0 - 57) |
| | | OFF, BANK UP, PATCH +1, PATCH -1, LEVEL +10, |
| | | LEVEL +20, LEVEL -10, LEVEL -20, BPM TAP, |
| | | DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 30 | 0000 000a | BankUp Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 31 | 00aa aaaa | Ctl1 Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 32 | 0000 000a | Ctl1 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 33 | 00aa aaaa | Ctl2 Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 34 | 0000 000a | Ctl2 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 35 | 00aa aaaa | Ctl3 Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 36 | 0000 000a | Ctl3 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 37 | 00aa aaaa | Ctl4 Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 38 | 0000 000a | Ctl4 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 39 | 00aa aaaa | Ctl5 Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 3A | 0000 000a | Ctl5 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 3B | 00aa aaaa | Ctl6 Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 3C | 0000 000a | Ctl6 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 3D | 00aa aaaa | Ctl7 Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 3E | 0000 000a | Ctl7 Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 3F | 00aa aaaa | CNum Function (0 - 54) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 40 | 0000 000a | CNum Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 41 | 00aa aaaa | Exp1Sw Function (0 - 58) |
| | | OFF, BANK UP, BANK DOWN, PATCH +1, PATCH -1, |
| | | LEVEL +10, LEVEL +20, LEVEL -10, LEVEL -20, |
| | | BPM TAP, DLY1 TAP, DLY2 TAP, DLY3 TAP, DLY4 TAP, |
| | | MST DLY TAP, TUNER, AMP CTL1, AMP CTL2, CMP, DS1, |
| | | DS1 SOLO, DS2, DS2 SOLO, AMP-1, AMP-1 SOLO, AMP-2, |
| | | AMP-2 SOLO, NS 1, NS 2, EQ 1, EQ 2, EQ 3, EQ 4, |
| | | DLY1, DLY2, DLY3, DLY4, MST DLY, CHO, FX1, FX2, |
| | | FX3, FX1 TRIGGER, FX2 TRIGGER, FX3 TRIGGER, REV, |
| | | PFX, DIV1 CH.SEL, DIV2 CH.SEL, DIV3 CH.SEL, S/R 1, |
| | | S/R 2, LOOPER, LOOPER STOP, LOOPER CLEAR, |
| | | METRONOME, MIDI START, MMC PLAY, MDLY TRIGGER |
| 00 42 | 0000 000a | Exp1Sw Mode (0 - 1) |
| | | TOGGLE, MOMENT |
| 00 43 | 0000 00aa | Exp1 Function (0 - 3) |
| | | OFF, FOOT VOLUME, PEDAL FX, FV/PEDAL FX |
| 00 44 | 0000 00aa | Exp2 Function (0 - 3) |
| | | OFF, FOOT VOLUME, PEDAL FX, FV/PEDAL FX |
| 00 45 | 0000 00aa | Exp3 Function (0 - 3) |
| | | OFF, FOOT VOLUME, PEDAL FX, FV/PEDAL FX |
|# 00 46 | 0000 aaaa | |
| 00 47 | 0000 bbbb | AMP CTL BPM1 (0 - 229) |
| | | TAP:OFF, TAP:DoubleWholeNote, TAP:DottedWholeNote, |
| | | TAP:WholeNote, TAP:DottedHalfNote, |
| | | TAP:TripletWholeNote, TAP:HalfNote, |
| | | TAP:DottedQuarterNote, TAP:TripletHalfNote, |
| | | TAP:QuarterNote, TAP:Dotted8thNote, |
| | | TAP:TripletQuarterNote, TAP:8thNote, |
| | | TAP:Dotted16thNote, TAP:Triplet8thNote, |
| | | TAP:16thNote, TAP:Dotted32ndNote, |
| | | TAP:Triplet16thNote, TAP:32ndNote, TAP:40 - 250 |
|# 00 48 | 0000 aaaa | |
| 00 49 | 0000 bbbb | AMP CTL BPM2 (0 - 229) |
| | | TAP:OFF, TAP:DoubleWholeNote, TAP:DottedWholeNote, |
| | | TAP:WholeNote, TAP:DottedHalfNote, |
| | | TAP:TripletWholeNote, TAP:HalfNote, |
| | | TAP:DottedQuarterNote, TAP:TripletHalfNote, |
| | | TAP:QuarterNote, TAP:Dotted8thNote, |
| | | TAP:TripletQuarterNote, TAP:8thNote, |
| | | TAP:Dotted16thNote, TAP:Triplet8thNote, |
| | | TAP:16thNote, TAP:Dotted32ndNote, |
| | | TAP:Triplet16thNote, TAP:32ndNote, TAP:40 - 250 |
| 00 4A | 000a aaaa | PATCH MIDI 1:CH (0 - 16) |
| | | OFF, 1 - 16 |
|# 00 4B | 0000 aaaa | |
| 00 4C | 0000 bbbb | PATCH MIDI 1:BANK MSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 4D | 0000 aaaa | |
| 00 4E | 0000 bbbb | PATCH MIDI 1:BANK LSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 4F | 0000 aaaa | |
| 00 50 | 0000 bbbb | PATCH MIDI 1:PC# (0 - 128) |
| | | OFF, 1 - 128 |
|# 00 51 | 0000 aaaa | |
| 00 52 | 0000 bbbb | PATCH MIDI 1:CC1# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 53 | 0aaa aaaa | PATCH MIDI 1:CC1 VALUE (0 - 127) |
|# 00 54 | 0000 aaaa | |
| 00 55 | 0000 bbbb | PATCH MIDI 1:CC2# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 56 | 0aaa aaaa | PATCH MIDI 1:CC2 VALUE (0 - 127) |
| 00 57 | 000a aaaa | PATCH MIDI 2:CH (0 - 16) |
| | | OFF, 1 - 16 |
|# 00 58 | 0000 aaaa | |
| 00 59 | 0000 bbbb | PATCH MIDI 2:BANK MSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 5A | 0000 aaaa | |
| 00 5B | 0000 bbbb | PATCH MIDI 2:BANK LSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 5C | 0000 aaaa | |
| 00 5D | 0000 bbbb | PATCH MIDI 2:PC# (0 - 128) |
| | | OFF, 1 - 128 |
|# 00 5E | 0000 aaaa | |
| 00 5F | 0000 bbbb | PATCH MIDI 2:CC1# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 60 | 0aaa aaaa | PATCH MIDI 2:CC1 VALUE (0 - 127) |
|# 00 61 | 0000 aaaa | |
| 00 62 | 0000 bbbb | PATCH MIDI 2:CC2# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 63 | 0aaa aaaa | PATCH MIDI 2:CC2 VALUE (0 - 127) |
| 00 64 | 000a aaaa | PATCH MIDI 3:CH (0 - 16) |
| | | OFF, 1 - 16 |
|# 00 65 | 0000 aaaa | |
| 00 66 | 0000 bbbb | PATCH MIDI 3:BANK MSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 67 | 0000 aaaa | |
| 00 68 | 0000 bbbb | PATCH MIDI 3:BANK LSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 69 | 0000 aaaa | |
| 00 6A | 0000 bbbb | PATCH MIDI 3:PC# (0 - 128) |
| | | OFF, 1 - 128 |
|# 00 6B | 0000 aaaa | |
| 00 6C | 0000 bbbb | PATCH MIDI 3:CC1# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 6D | 0aaa aaaa | PATCH MIDI 3:CC1 VALUE (0 - 127) |
|# 00 6E | 0000 aaaa | |
| 00 6F | 0000 bbbb | PATCH MIDI 3:CC2# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 70 | 0aaa aaaa | PATCH MIDI 3:CC2 VALUE (0 - 127) |
| 00 71 | 000a aaaa | PATCH MIDI 4:CH (0 - 16) |
| | | OFF, 1 - 128 |
|# 00 72 | 0000 aaaa | |
| 00 73 | 0000 bbbb | PATCH MIDI 4:BANK MSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 74 | 0000 aaaa | |
| 00 75 | 0000 bbbb | PATCH MIDI 4:BANK LSB (0 - 128) |
| | | OFF, 0 - 127 |
|# 00 76 | 0000 aaaa | |
| 00 77 | 0000 bbbb | PATCH MIDI 4:PC# (0 - 128) |
| | | OFF, 1 - 128 |
|# 00 78 | 0000 aaaa | |
| 00 79 | 0000 bbbb | PATCH MIDI 4:CC1# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 7A | 0aaa aaaa | PATCH MIDI 4:CC1 VALUE (0 - 127) |
|# 00 7B | 0000 aaaa | |
| 00 7C | 0000 bbbb | PATCH MIDI 4:CC2# (0 - 128) |
| | | OFF, 0 - 127 |
| 00 7D | 0aaa aaaa | PATCH MIDI 4:CC2 VALUE (0 - 127) |
